Date,High,Low,Volume,Adj Close
2005-11-16,45.400001525878906,44.2400016784668,7967000,45.29999923706055
2005-11-17,46.7599983215332,45.36000061035156,11687600,46.7400016784668
2005-11-18,48.0,46.65999984741211,59332800,47.97999954223633
2005-11-21,48.310001373291016,47.27999877929688,17869900,47.9900016784668
2005-11-22,49.0099983215332,47.34000015258789,12990700,48.84999847412109
2005-11-23,48.959999084472656,48.09000015258789,7483200,48.2400016784668
2005-11-25,48.47999954223633,47.619998931884766,2695800,48.060001373291016
2005-11-28,49.119998931884766,47.619998931884766,10670900,48.34999847412109
2005-11-29,49.43000030517578,48.119998931884766,10384400,48.54999923706055
2005-11-30,48.68000030517578,47.54999923706055,7925600,48.459999084472656
2005-12-01,49.400001525878906,48.630001068115234,7866700,49.0
2005-12-02,49.52999877929688,48.400001525878906,6451600,49.060001373291016
2005-12-05,49.34999847412109,48.75,5250900,48.83000183105469
2005-12-06,49.900001525878906,49.060001373291016,9581400,49.2599983215332
2005-12-07,49.470001220703125,48.290000915527344,6796800,48.83000183105469
2005-12-08,49.09999847412109,47.86000061035156,7144000,48.34999847412109
2005-12-09,49.040000915527344,48.25,4709000,48.7400016784668
2005-12-12,49.29999923706055,48.63999938964844,3424300,49.06999969482422
2005-12-13,49.66999816894531,48.47999954223633,5812800,49.5
2005-12-14,49.59999847412109,48.790000915527344,4965900,49.40999984741211
2005-12-15,49.95000076293945,49.04999923706055,5820500,49.47999954223633
2005-12-16,49.91999816894531,49.209999084472656,5626500,49.209999084472656
2005-12-19,50.0,48.31999969482422,8308700,48.369998931884766
2005-12-20,48.59999847412109,47.68000030517578,5535200,48.13999938964844
2005-12-21,49.060001373291016,47.77999877929688,7322500,48.970001220703125
2005-12-22,49.27999877929688,48.36000061035156,4421800,49.220001220703125
2005-12-23,49.38999938964844,48.720001220703125,3206500,49.220001220703125
2005-12-27,49.09999847412109,48.36000061035156,5818700,48.560001373291016
2005-12-28,48.54999923706055,47.900001525878906,4531800,48.060001373291016
2005-12-29,48.459999084472656,47.970001220703125,3171100,47.9900016784668
2005-12-30,48.20000076293945,47.13999938964844,5401100,47.150001525878906
2006-01-03,47.84999847412109,46.25,7582200,47.58000183105469
2006-01-04,47.72999954223633,46.68999862670898,7440900,47.25
2006-01-05,48.20000076293945,47.11000061035156,5417200,47.650001525878906
2006-01-06,48.58000183105469,47.31999969482422,6152900,47.869998931884766
2006-01-09,47.09999847412109,46.400001525878906,8943100,47.08000183105469
2006-01-10,46.75,45.36000061035156,9686100,45.650001525878906
2006-01-11,45.70000076293945,44.2599983215332,8497200,44.93000030517578
2006-01-12,45.09000015258789,44.09000015258789,5818300,44.36000061035156
2006-01-13,44.84999847412109,44.0,4432200,44.400001525878906
2006-01-17,44.31999969482422,43.65999984741211,5631000,44.0
2006-01-18,44.59000015258789,43.09999847412109,8743300,44.31999969482422
2006-01-19,45.2400016784668,44.29999923706055,5156900,44.45000076293945
2006-01-20,44.36000061035156,43.20000076293945,8307400,43.91999816894531
2006-01-23,44.75,43.5,5752800,43.72999954223633
2006-01-24,44.43000030517578,43.41999816894531,4342400,44.02000045776367
2006-01-25,44.470001220703125,43.34000015258789,4287100,43.59999847412109
2006-01-26,44.77999877929688,43.790000915527344,4889500,44.68000030517578
2006-01-27,45.220001220703125,44.52999877929688,4174000,45.220001220703125
2006-01-30,45.970001220703125,44.7400016784668,4099800,44.959999084472656
2006-01-31,45.209999084472656,44.25,4056000,44.81999969482422
2006-02-01,44.68999862670898,43.5,7501400,43.97999954223633
2006-02-02,44.040000915527344,39.79999923706055,23709300,42.7400016784668
2006-02-03,38.5,37.369998931884766,33531300,38.33000183105469
2006-02-06,38.34000015258789,37.77000045776367,8503200,37.95000076293945
2006-02-07,38.20000076293945,37.20000076293945,7403600,37.52000045776367
2006-02-08,38.38999938964844,37.11000061035156,7543700,38.16999816894531
2006-02-09,39.0,37.93000030517578,6932800,37.9900016784668
2006-02-10,38.52000045776367,37.369998931884766,5011800,38.52000045776367
2006-02-13,38.41999816894531,37.52999877929688,4750400,37.86000061035156
2006-02-14,38.4900016784668,37.380001068115234,4514200,38.25
2006-02-15,39.27999877929688,38.09999847412109,6902700,39.2599983215332
2006-02-16,40.0,38.83000183105469,5638000,39.150001525878906
2006-02-17,39.380001068115234,38.90999984741211,4581800,39.18999862670898
2006-02-21,39.11000061035156,38.2599983215332,5056100,38.290000915527344
2006-02-22,39.09999847412109,37.709999084472656,7356900,38.720001220703125
2006-02-23,38.75,37.869998931884766,9287500,37.900001525878906
2006-02-24,38.40999984741211,37.86000061035156,3720000,38.34999847412109
2006-02-27,38.77999877929688,37.93000030517578,4449100,38.0099983215332
2006-02-28,38.09000015258789,37.04999923706055,9150900,37.43999862670898
2006-03-01,37.68999862670898,36.84999847412109,6981500,37.119998931884766
2006-03-02,37.0,35.369998931884766,11583700,36.880001068115234
2006-03-03,37.83000183105469,36.66999816894531,6044900,37.209999084472656
2006-03-06,37.58000183105469,36.77000045776367,4258300,36.86000061035156
2006-03-07,37.41999816894531,36.70000076293945,4722300,36.93000030517578
2006-03-08,37.470001220703125,36.61000061035156,6236600,36.810001373291016
2006-03-09,36.959999084472656,35.900001525878906,7200100,36.119998931884766
2006-03-10,36.5,35.7400016784668,4972700,36.220001220703125
2006-03-13,36.630001068115234,35.970001220703125,3278100,36.18999862670898
2006-03-14,37.0,36.0099983215332,4185200,36.90999984741211
2006-03-15,37.0,36.43000030517578,2801500,36.88999938964844
2006-03-16,37.38999938964844,36.7400016784668,4822800,36.77000045776367
2006-03-17,36.97999954223633,35.849998474121094,6886200,35.9900016784668
2006-03-20,37.27000045776367,35.79999923706055,6170800,36.22999954223633
2006-03-21,36.72999954223633,35.65999984741211,6671600,35.91999816894531
2006-03-22,36.540000915527344,35.790000915527344,4300800,36.0
2006-03-23,36.34000015258789,35.47999954223633,4035900,35.68000030517578
2006-03-24,36.119998931884766,35.310001373291016,3682000,35.470001220703125
2006-03-27,35.65999984741211,35.13999938964844,3708500,35.25
2006-03-28,36.02000045776367,35.20000076293945,5727200,35.689998626708984
2006-03-29,36.810001373291016,35.310001373291016,7199200,36.31999969482422
2006-03-30,36.900001525878906,36.18000030517578,4049200,36.66999816894531
2006-03-31,36.77000045776367,36.47999954223633,2659000,36.52999877929688
2006-04-03,37.33000183105469,36.09999847412109,5054000,36.13999938964844
2006-04-04,37.09999847412109,36.02000045776367,3717800,36.77000045776367
2006-04-05,37.34000015258789,36.27000045776367,5559500,37.34000015258789
2006-04-06,38.84000015258789,37.130001068115234,9294600,38.5099983215332
2006-04-07,38.66999816894531,37.0,5704500,37.09000015258789
2006-04-10,37.27999877929688,36.220001220703125,4747500,36.61000061035156
2006-04-11,36.75,35.52000045776367,6605600,36.060001373291016
2006-04-12,36.43999862670898,35.90999984741211,2855800,36.130001068115234
2006-04-13,36.720001220703125,35.4900016784668,3715200,36.619998931884766
2006-04-17,36.619998931884766,35.04999923706055,4442200,35.27000045776367
2006-04-18,36.45000076293945,35.20000076293945,4595700,36.27999877929688
2006-04-19,36.959999084472656,35.88999938964844,4280500,36.88999938964844
2006-04-20,37.20000076293945,36.22999954223633,5387600,36.34000015258789
2006-04-21,36.77999877929688,35.720001220703125,4423500,36.02999877929688
2006-04-24,36.119998931884766,35.31999969482422,3087600,35.790000915527344
2006-04-25,35.77000045776367,35.0099983215332,12790500,35.54999923706055
2006-04-26,36.34999847412109,35.150001525878906,11071500,35.790000915527344
2006-04-27,35.869998931884766,35.29999923706055,5932500,35.7400016784668
2006-04-28,35.88999938964844,35.13999938964844,3492500,35.209999084472656
2006-05-01,35.56999969482422,34.439998626708984,7072700,34.59000015258789
2006-05-02,34.939998626708984,34.22999954223633,5857000,34.380001068115234
2006-05-03,34.38999938964844,33.5099983215332,7585900,33.959999084472656
2006-05-04,34.720001220703125,34.380001068115234,5997900,34.470001220703125
2006-05-05,35.040000915527344,34.150001525878906,5740900,35.040000915527344
2006-05-08,35.310001373291016,34.470001220703125,4236800,34.689998626708984
2006-05-09,35.2599983215332,34.209999084472656,5484700,34.84000015258789
2006-05-10,35.0,34.099998474121094,3300300,34.15999984741211
2006-05-11,34.150001525878906,33.08000183105469,7696000,33.529998779296875
2006-05-12,33.779998779296875,32.54999923706055,4873600,32.72999954223633
2006-05-15,32.849998474121094,32.209999084472656,4305000,32.779998779296875
2006-05-16,33.02000045776367,32.31999969482422,5221600,32.7599983215332
2006-05-17,32.70000076293945,31.530000686645508,6704100,31.61000061035156
2006-05-18,33.63999938964844,31.520000457763672,12027200,32.61000061035156
2006-05-19,34.0,32.029998779296875,9817200,33.939998626708984
2006-05-22,34.9900016784668,33.18000030517578,11122900,34.83000183105469
2006-05-23,36.0,33.7599983215332,8822700,33.7599983215332
2006-05-24,35.22999954223633,33.369998931884766,9542100,35.189998626708984
2006-05-25,35.689998626708984,34.599998474121094,5845700,35.630001068115234
2006-05-26,36.5,35.459999084472656,4524300,36.06999969482422
2006-05-30,35.75,34.439998626708984,5920800,34.63999938964844
2006-05-31,34.939998626708984,33.72999954223633,5196600,34.61000061035156
2006-06-01,35.45000076293945,34.29999923706055,5932000,35.06999969482422
2006-06-02,35.220001220703125,34.04999923706055,5442900,34.7599983215332
2006-06-05,34.540000915527344,33.27000045776367,5049400,33.4900016784668
2006-06-06,33.79999923706055,32.93000030517578,4276600,33.40999984741211
2006-06-07,34.540000915527344,32.90999984741211,5303800,33.77000045776367
2006-06-08,34.060001373291016,32.41999816894531,8311000,33.54999923706055
2006-06-09,34.349998474121094,33.45000076293945,5232600,33.779998779296875
2006-06-12,34.45000076293945,33.4900016784668,4195800,33.599998474121094
2006-06-13,34.16999816894531,33.130001068115234,5403000,33.470001220703125
2006-06-14,33.9900016784668,33.08000183105469,4869100,33.68000030517578
2006-06-15,35.16999816894531,33.66999816894531,6206100,34.959999084472656
2006-06-16,35.2599983215332,34.70000076293945,5135100,35.09000015258789
2006-06-19,35.47999954223633,35.040000915527344,4211600,35.06999969482422
2006-06-20,35.650001525878906,34.880001068115234,4465500,35.47999954223633
2006-06-21,37.04999923706055,35.34000015258789,7865300,36.650001525878906
2006-06-22,36.84999847412109,36.11000061035156,4732000,36.369998931884766
2006-06-23,36.650001525878906,36.02000045776367,3923400,36.54999923706055
2006-06-26,37.16999816894531,36.43000030517578,3605800,36.77000045776367
2006-06-27,37.5,36.16999816894531,5641000,36.47999954223633
2006-06-28,37.11000061035156,36.47999954223633,3751700,36.70000076293945
2006-06-29,38.56999969482422,36.70000076293945,6372500,38.52000045776367
2006-06-30,38.84000015258789,37.83000183105469,5191200,38.68000030517578
2006-07-03,38.619998931884766,38.22999954223633,1436300,38.61000061035156
2006-07-05,38.43000030517578,36.77999877929688,5734000,37.11000061035156
2006-07-06,37.7400016784668,36.52000045776367,4372700,36.79999923706055
2006-07-07,37.27999877929688,35.75,5004100,36.11000061035156
2006-07-10,36.70000076293945,35.400001525878906,3876700,35.790000915527344
2006-07-11,35.91999816894531,35.0099983215332,6088600,35.65999984741211
2006-07-12,35.900001525878906,34.56999969482422,4894700,34.630001068115234
2006-07-13,34.630001068115234,33.709999084472656,6455500,33.72999954223633
2006-07-14,33.72999954223633,32.79999923706055,8094800,32.91999816894531
2006-07-17,33.93000030517578,32.790000915527344,7197300,33.66999816894531
2006-07-18,34.290000915527344,32.959999084472656,5215000,33.4900016784668
2006-07-19,34.77000045776367,33.38999938964844,8866300,34.47999954223633
2006-07-20,34.810001373291016,33.83000183105469,5836200,34.18000030517578
2006-07-21,33.970001220703125,32.91999816894531,7136600,33.189998626708984
2006-07-24,34.68000030517578,33.34000015258789,7385400,34.310001373291016
2006-07-25,34.15999984741211,33.38999938964844,17230000,33.59000015258789
2006-07-26,29.0,25.959999084472656,76985200,26.26000022888184
2006-07-27,26.799999237060547,26.209999084472656,26393800,26.559999465942383
2006-07-28,27.18000030517578,26.56999969482422,12422000,27.170000076293945
2006-07-31,27.290000915527344,26.739999771118164,8038200,26.88999938964844
